edad,educ,wage
56,2,2083.8039220152687
67,14,3392.917614334374
69,12,2473.0297906440123
31,2,2241.50180247941
37,3,1219.6970873827793
64,7,2128.519932506536
18,10,2276.6934479728075
39,7,2043.4096775215346
76,3,3104.472430907354
63,3,1518.8196459484761
29,3,2984.831581428902
43,5,2705.5344201767743
73,7,2171.0252831171715
37,1,1934.4476856570723
31,4,1666.1024964516082
40,6,3051.104975896762
53,0,2771.379653270469
33,10,2529.9480452452535
26,12,2331.254512900113
67,4,2342.4954858296937
31,13,3041.188619077024
49,10,3081.4250174465437
20,11,2860.306386372731
59,5,1948.8122259542884
45,1,2479.520251964584
37,14,2035.8680376561647
37,3,2195.7533524049845
31,7,2345.2485800280024
78,6,1691.618217228658
21,14,2821.427959536896
23,11,2377.138672701953
56,8,2176.9617017544206
20,5,2351.122787573926
64,14,2428.421525137456
18,6,3760.9020085502625
30,3,994.9625887287968
73,2,2445.6045257372234
27,4,3727.6346514032357
56,5,2909.490317897205
46,7,2768.5359674217216
35,6,2378.5972315563567
47,3,3742.2133959820326
60,8,2810.405262952997
61,9,2007.9720307306904
34,9,3079.5460519329863
55,13,2123.3953039918683
41,10,2583.6391128298374
30,14,2011.4830288534465
77,1,1782.9322420132398
35,7,1753.6152551384052
49,4,3791.043339740978
21,4,2849.366299611492
45,8,2394.4114262702415
61,7,2178.131293885748
72,1,3392.8487942473503
43,5,2149.5599032041446
51,6,1787.4660280500339
39,2,3146.5882462026057
66,9,3423.794990894489
73,5,2202.6916951867706
65,1,1346.2060730631626
59,10,2559.149601772157
50,14,2553.9060106114425
47,2,2722.084642786693
69,1,2325.5879330192856
62,8,3016.864983202011
26,1,2635.5846858803743
37,3,3100.2599335624327
48,8,2398.941752023495
43,8,2232.247341566016
67,3,3129.0288269555354
74,3,3168.9635905350738
60,4,2548.4004893374104
29,12,2087.227177281879
75,4,4612.335929175371
50,7,3558.7951696795853
48,5,3064.3239143483997
26,3,1611.903747055902
74,6,2879.5734719242078
29,4,2570.942657440282
69,10,2592.8001809615307
71,6,2172.628231517507
62,9,1987.3370767368624
34,11,1655.9970772291822
35,13,1425.6904415260324
71,11,2732.042001263688
55,2,2714.1420505345727
61,6,2466.5317968197046
20,5,2582.4072338669293
22,9,2052.594361558662
48,14,2746.2234294027603
40,1,2470.4236735259155
28,8,2424.3939292432487
35,4,2409.1920504018235
58,6,2546.8070474837323
64,9,2492.2561141698297
76,5,2066.70555998793
39,12,2700.0243789029587
30,8,2393.1014814072614
63,2,2352.9214696886584
40,9,2166.278016354245
50,5,1590.6676142585613
65,4,2143.032981538084
71,9,2952.8410668212264
27,11,2734.7057177599368
38,10,3195.300297177854
43,11,2674.98863738258
28,8,2916.7822191775394
35,14,2677.151052913919
36,9,2300.4737990345457
40,11,1810.134823947979
30,1,3271.8519365091265
43,8,2725.753356220406
69,13,2017.9456546196457
21,3,1235.9854681150991
24,9,1751.6441421414534
33,6,2262.8846776902583
44,5,2373.601349126371
36,3,2381.2430861595985
52,5,2315.4269014108795
33,1,1511.1934854580122
55,14,2606.645273041802
55,8,2892.5493930556713
21,6,2047.6178303273855
78,11,2778.3894120055697
31,7,2289.637337666382
31,1,3314.388506003419
78,8,2559.64030464533
23,13,3082.6315854758473
76,2,2420.4652886636295
77,9,2761.0667369033695
41,7,1895.3646157028543
18,6,2247.08035279011
33,4,2381.667764672179
30,12,2892.1876118950304
76,9,2685.205714504757
32,10,2901.557076328008
43,13,1185.2261692126715
53,10,2574.956429796794
19,9,2215.8114126430746
64,3,2121.244604525736
29,9,2813.0246339786095
22,9,2158.299043270117
59,10,2246.4499798856477
63,2,2309.669990467283
39,8,2602.971645979823
69,10,3690.1095762352643
32,1,3350.628261580813
31,6,3151.2933974566777
18,8,3011.1201915148167
58,3,1807.782682945691
52,13,1724.6035780023262
27,2,3150.124365275192
74,0,2829.418487843184
38,4,2118.207876771672
61,2,3040.311219888137
25,0,2614.9420192149014
42,0,2397.3208369204726
62,4,2151.4059938410637
35,11,2679.0616829688843
55,14,1926.250963647105
60,11,2900.7658291027046
28,3,2529.9714491451978
62,6,1401.7547729708274
67,1,4003.4769355570697
18,7,2428.9769937922056
31,3,3201.0321660434547
47,6,1916.8229965806681
41,0,1638.771939319934
77,4,2775.639138721441
51,14,2436.511313004631
35,13,2857.405211780985
54,13,3191.3593876878667
70,2,3021.5668721365846
67,6,1636.2019901338435
73,3,1555.2882158984758
74,7,1690.7940563300813
79,7,2332.402943463358
37,0,1871.843248188503
46,4,2308.6060134903432
74,2,1696.223090967753
43,3,3323.2310807960057
53,8,3618.6748896603913
49,9,2650.0862269140243
66,5,3306.039636679592
